,ConstituentID,City,County,State,Country,Continent
13696,1348,Uccle,,missing,Belgium,Europe
8136,5144,Turnhout,,missing,Belgium,Europe
14956,6534,Tournai,,missing,Belgium,Europe
15160,4774,Schaerbeek,,missing,Belgium,Europe
13733,2513,Namur,,missing,Belgium,Europe
13501,5115,Mechelen,,missing,Belgium,Europe
1762,993,Liege,,missing,Belgium,Europe
13577,3071,Lessines,,missing,Belgium,Europe
13697,1362,Ichteghem,,missing,Belgium,Europe
12716,3536,Ghent,,missing,Belgium,Europe
6864,4167,Feluy-Ardennes,,missing,Belgium,Europe
13670,1243,Courtrai,,missing,Belgium,Europe
2176,1221,Brussels,,missing,Belgium,Europe
5439,3262,Brussels,,missing,Belgium,Europe
6865,4167,Brussels,,missing,Belgium,Europe
7111,4324,Brussels,,missing,Belgium,Europe
13517,5453,Brussels,,missing,Belgium,Europe
13578,3071,Brussels,,missing,Belgium,Europe
13669,1243,Brussels,,missing,Belgium,Europe
13730,3629,Brussels,,missing,Belgium,Europe
13731,3629,Brussels,,missing,Belgium,Europe
13734,2513,Brussels,,missing,Belgium,Europe
14892,6561,Brussels,,missing,Belgium,Europe
14957,6534,Brussels,,missing,Belgium,Europe
15065,4233,Brussels,,missing,Belgium,Europe
15066,4233,Brussels,,missing,Belgium,Europe
1255,698,Bruges,,missing,Belgium,Europe
7270,4425,Bruges,,missing,Belgium,Europe
8089,5115,Boom,,missing,Belgium,Europe
13695,1348,Aywaille,,missing,Belgium,Europe
2810,1613,Antwerp,,missing,Belgium,Europe
6989,4252,Antwerp,,missing,Belgium,Europe
8739,5516,Antwerp,,missing,Belgium,Europe
10880,1403,Antwerp,,missing,Belgium,Europe
11557,27405,Antwerp,,missing,Belgium,Europe
12034,27474,Antwerp,,missing,Belgium,Europe
12717,3536,Antwerp,,missing,Belgium,Europe
13062,4176,Antwerp,,missing,Belgium,Europe
13583,3174,Antwerp,,missing,Belgium,Europe
13630,3625,Antwerp,,missing,Belgium,Europe
13631,3625,Antwerp,,missing,Belgium,Europe
13648,3174,Antwerp,,missing,Belgium,Europe
13698,1362,Antwerp,,missing,Belgium,Europe
14244,27439,Antwerp,,missing,Belgium,Europe
14245,27439,Antwerp,,missing,Belgium,Europe
14609,3859,Antwerp,,missing,Belgium,Europe
14803,29144,Antwerp,,missing,Belgium,Europe
15159,4774,Antwerp,,missing,Belgium,Europe
15168,5140,Antwerp,,missing,Belgium,Europe
15169,5140,Antwerp,,missing,Belgium,Europe
5292,3172,Vlachovo Brezi,,missing,Bohemia,Europe
6902,4197,Kourim,,missing,Bohemia,Europe
8175,5172,missing,,missing,Bohemia,Europe
329,181,La Paz,,missing,Bolivia,South America
478,258,Sao Paulo,,missing,Brazil,South America
2588,1482,Sao Paulo,,missing,Brazil,South America
12184,17753,Sao Paulo,,missing,Brazil,South America
3167,1835,Rio de Janeiro,,missing,Brazil,South America
3815,2255,Rio de Janeiro,,missing,Brazil,South America
5449,3266,Rio de Janeiro,,missing,Brazil,South America
2122,1185,Ponta Pora,,missing,Brazil,South America
6113,3697,Vidin,,missing,Bulgaria,Europe
6922,4207,Varna,,missing,Bulgaria,Europe
11319,27236,Gabrovo,,missing,Bulgaria,Europe
7277,4429,missing,,missing,Bulgaria,Europe
1565,879,missing,,missing,Cambodia,Asia
15770,30255,Cardston,,Alberta,Canada,North America
603,320,Calgary,,Alberta,Canada,North America
2370,1347,Calgary,,Alberta,Canada,North America
813,438,Vancouver,,British Columbia,Canada,North America
11577,27323,Vancouver,,British Columbia,Canada,North America
2649,1512,Fernie,,British Columbia,Canada,North America
7869,4800,Winnipeg,,Manitoba,Canada,North America
11318,27227,Winnepeg,,Manitoba,Canada,North America
4984,2977,Lauder,,Manitoba,Canada,North America
7846,4787,St. John,,New Brunswick,Canada,North America
413,226,St. Andrews,,New Brunswick,Canada,North America
8214,5197,St. Andrews,,New Brunswick,Canada,North America
283,158,missing,,New Brunswick,Canada,North America
6746,4082,Somerset,,Nova Scotia,Canada,North America
12732,28172,Round Hill,,Nova Scotia,Canada,North America
13442,18595,Hebron,,Nova Scotia,Canada,North America
4101,2422,Halifax,,Nova Scotia,Canada,North America
4756,2833,Halifax,,Nova Scotia,Canada,North America
10091,6867,Halifax,,Nova Scotia,Canada,North America
14840,6488,Halifax,,Nova Scotia,Canada,North America
15434,29943,Halifax,,Nova Scotia,Canada,North America
2893,1661,Grand Passage,,Nova Scotia,Canada,North America
8242,5220,Winnipeg,,Ontario,Canada,North America
5696,3432,Whitby,,Ontario,Canada,North America
593,316,Toronto,,Ontario,Canada,North America
1789,1007,Toronto,,Ontario,Canada,North America
1790,1007,Toronto,,Ontario,Canada,North America
3642,2143,Toronto,,Ontario,Canada,North America
5747,3463,Toronto,,Ontario,Canada,North America
7295,4436,Toronto,,Ontario,Canada,North America
7600,4642,Toronto,,Ontario,Canada,North America
7641,4667,Toronto,,Ontario,Canada,North America
9559,6244,Toronto,,Ontario,Canada,North America
10983,18497,Toronto,,Ontario,Canada,North America
15880,30669,Toronto,,Ontario,Canada,North America
9959,6747,Tillsonburg,,Ontario,Canada,North America
1849,1038,St. Catharines,,Ontario,Canada,North America
8363,5282,Sandwich,,Ontario,Canada,North America
14572,29277,Saint Catherine's,,Ontario,Canada,North America
3633,2136,Port Hope,,Ontario,Canada,North America
3393,1972,Picton,,Ontario,Canada,North America
8102,5125,Ottawa,,Ontario,Canada,North America
1968,1102,Niagara Falls,,Ontario,Canada,North America
3938,2321,Niagara Falls,,Ontario,Canada,North America
9810,6660,London,,Ontario,Canada,North America
8226,5207,Listowel,,Ontario,Canada,North America
44,26,Kawehnoke,St. Regis Reservation,Ontario,Canada,North America
3616,2127,Hamilton,,Ontario,Canada,North America
8480,5351,Hamilton,,Ontario,Canada,North America
9992,6768,Guelph,,Ontario,Canada,North America
13993,26,Cornwall Island,St. Regis Reservation,Ontario,Canada,North America
9307,6036,Bozanquit,,Ontario,Canada,North America
14567,29276,Ayr,,Ontario,Canada,North America
5391,3233,Almonte,,Ontario,Canada,North America
5104,3057,Charlottetown,,Prince Edward Island,Canada,North America
6998,4257,Quebec,,Quebec,Canada,North America
2441,1390,Philipsburg,,Quebec,Canada,North America
1167,648,Montreal,,Quebec,Canada,North America
1168,648,Montreal,,Quebec,Canada,North America
3417,1994,Montreal,,Quebec,Canada,North America
4239,2508,Montreal,,Quebec,Canada,North America
5251,3147,Montreal,,Quebec,Canada,North America
6497,3928,Montreal,,Quebec,Canada,North America
6977,4241,Montreal,,Quebec,Canada,North America
9868,6689,Montreal,,Quebec,Canada,North America
10325,7190,Montreal,,Quebec,Canada,North America
15589,3163,Montreal,,Quebec,Canada,North America
16063,30895,Montreal,,Quebec,Canada,North America
8227,5207,Ile d' Orleans,,Quebec,Canada,North America
178,104,Saskatoon,,Saskatchewan,Canada,North America
9527,6212,Moose Jaw,,Saskatchewan,Canada,North America
9432,6143,Macklin,,Saskatchewan,Canada,North America
10438,7312,Arcola,,Saskatchewan,Canada,North America
10790,18417,Toronto,,missing,Canada,North America
13639,3745,Quebec,,missing,Canada,North America
14737,29515,New Brunswick,,missing,Canada,North America
1597,893,Montreal,,missing,Canada,North America
4837,2885,Longue Pointe,,missing,Canada,North America
13640,3745,Laval,,missing,Canada,North America
4850,2895,Valparaiso,,missing,Chile,South America
13154,2165,Santiago de Chile,,missing,Chile,South America
13239,2165,Santiago de Chile,,missing,Chile,South America
2340,1330,Santiago,,missing,Chile,South America
13980,70,Santiago,,missing,Chile,South America
15732,29780,Santiago,,missing,Chile,South America
16021,755,Santiago,,missing,Chile,South America
16143,30939,Santiago,,missing,Chile,South America
119,70,ChillÃ¡n,,missing,Chile,South America
10061,6834,missing,,missing,Chile,South America
13138,6304,missing,,missing,Chile,South America
1518,849,Wusih,,missing,China,Asia
8253,5227,Wu Ching,,missing,China,Asia
4317,2550,Tientsin,,missing,China,Asia
7753,4727,Tientsin,,missing,China,Asia
11328,7369,Swatow,,missing,China,Asia
2261,1279,Shanghai,,missing,China,Asia
7892,4815,Shanghai,,missing,China,Asia
8883,5688,Shanghai,,missing,China,Asia
15832,30587,Shanghai,,missing,China,Asia
1519,850,Peking,,missing,China,Asia
3596,2115,Peking,,missing,China,Asia
1539,865,Hoy Ping,,missing,China,Asia
4779,2844,Hong Kong,,missing,China,Asia
11683,27817,Hong Kong,,missing,China,Asia
10222,7090,Changchun,,missing,China,Asia
1542,866,Canton,,missing,China,Asia
1549,871,Canton,,missing,China,Asia
3064,1766,Canton,,missing,China,Asia
5721,3444,Canton,,missing,China,Asia
15199,2859,Canton,,missing,China,Asia
2061,1154,Amoy,,missing,China,Asia
3280,1899,missing,,missing,China,Asia
14434,6000,missing,,missing,China,Asia
15331,29863,missing,,missing,China,Asia
9178,5899,Bogata,,missing,Colombia,South America
15778,30279,Cidra,,Matanzas,Cuba,North America
10700,18314,Marianao,,Province of Havana,Cuba,North America
15692,30342,La Vega,,Province of Matanzas,Cuba,North America
6198,3757,Sagua la Grande,,missing,Cuba,North America
15685,30397,Ranchuelo,,missing,Cuba,North America
696,375,Havana,,missing,Cuba,North America
1364,755,Havana,,missing,Cuba,North America
9482,6172,Havana,,missing,Cuba,North America
9671,6328,Havana,,missing,Cuba,North America
9911,6717,Havana,,missing,Cuba,North America
10008,6780,Havana,,missing,Cuba,North America
10058,6832,Havana,,missing,Cuba,North America
10416,7288,Havana,,missing,Cuba,North America
10418,7290,Havana,,missing,Cuba,North America
10617,7498,Havana,,missing,Cuba,North America
10680,18281,Havana,,missing,Cuba,North America
10742,18387,Havana,,missing,Cuba,North America
11140,18580,Havana,,missing,Cuba,North America
11654,27735,Havana,,missing,Cuba,North America
12562,7370,Havana,,missing,Cuba,North America
14408,29152,Havana,,missing,Cuba,North America
14409,29152,Havana,,missing,Cuba,North America
15327,29892,Havana,,missing,Cuba,North America
5127,3069,Cienfuegos,,missing,Cuba,North America
6970,4237,CamagÃ¼ey,,missing,Cuba,North America
9636,6299,Camaguey,,missing,Cuba,North America
15438,30122,Camaguey,,missing,Cuba,North America
16039,30820,Camaguey,,missing,Cuba,North America
14159,29013,Vrchlabi,,missing,Czechoslovakia,Europe
1046,583,Prague,,missing,Czechoslovakia,Europe
6319,3821,Prague,,missing,Czechoslovakia,Europe
11386,27349,Prague,,missing,Czechoslovakia,Europe
11649,27726,Prague,,missing,Czechoslovakia,Europe
12039,27407,Prague,,missing,Czechoslovakia,Europe
12040,27407,Prague,,missing,Czechoslovakia,Europe
12449,27480,Prague,,missing,Czechoslovakia,Europe
4519,2676,Pilsen,,missing,Czechoslovakia,Europe
719,390,Nitra,,missing,Czechoslovakia,Europe
11388,27341,Karlovy Vary,,missing,Czechoslovakia,Europe
7586,4629,Hermanec,,missing,Czechoslovakia,Europe
11515,27649,Cheb,,missing,Czechoslovakia,Europe
11448,594,Brno,,missing,Czechoslovakia,Europe
14468,29228,Brno,,missing,Czechoslovakia,Europe
629,335,missing,,missing,Czechoslovakia,Europe
3433,2005,missing,,missing,Czechoslovakia,Europe
8069,5096,missing,,missing,Czechoslovakia,Europe
11203,18548,missing,,missing,Czechoslovakia,Europe
14369,29143,missing,,missing,Czechoslovakia,Europe
15519,30099,St. John,,Virgin Islands,Danish West Indies,Europe
13550,27625,Dybbol,,North Slesvig,Denmark,Europe
3590,2113,Skive,,missing,Denmark,Europe
15119,4827,Kolding,,missing,Denmark,Europe
12400,28131,Karlby Sogn,,missing,Denmark,Europe
3591,2113,Gentofte,,missing,Denmark,Europe
1342,746,Copenhagen,,missing,Denmark,Europe
2916,1675,Copenhagen,,missing,Denmark,Europe
3310,1922,Copenhagen,,missing,Denmark,Europe
3408,1987,Copenhagen,,missing,Denmark,Europe
3957,2331,Copenhagen,,missing,Denmark,Europe
4115,2426,Copenhagen,,missing,Denmark,Europe
4159,2463,Copenhagen,,missing,Denmark,Europe
5265,3155,Copenhagen,,missing,Denmark,Europe
7169,4362,Copenhagen,,missing,Denmark,Europe
10119,6933,Copenhagen,,missing,Denmark,Europe
10182,7055,Copenhagen,,missing,Denmark,Europe
11382,7304,Copenhagen,,missing,Denmark,Europe
13655,5414,Copenhagen,,missing,Denmark,Europe
14103,29032,Copenhagen,,missing,Denmark,Europe
11371,7354,Ask,,missing,Denmark,Europe
12242,2944,missing,,missing,Denmark,Europe
15703,30477,Santo Francisco,,missing,Dominican Republic,
15702,30293,Santo Domingo,,missing,Dominican Republic,
15706,30480,Santo Domingo,,missing,Dominican Republic,
15710,30474,Santo Domingo,,missing,Dominican Republic,
15711,30475,Santo Domingo,,missing,Dominican Republic,
15300,29765,Santiago de los Caballeros,,missing,Dominican Republic,
15707,30481,Santiago,,missing,Dominican Republic,
15709,30483,Santiago,,missing,Dominican Republic,
15712,30476,Santiago,,missing,Dominican Republic,
15704,30478,Bani,,missing,Dominican Republic,
13226,4364,missing,,missing,Dominican Republic,
15600,30159,Santo Domingo,Dominican Republic,,Dominican Republic,
15815,30074,Sarawak,,missing,East Malaysia,North America
13379,7371,Quito,,missing,Ecuador,South America
5798,3495,Guayaquil,,missing,Ecuador,South America
353,194,Cairo,,missing,Egypt,Africa
3403,1981,Cairo,,missing,Egypt,Africa
10194,7064,Cairo,,missing,Egypt,Africa
4726,2811,Alexandria,,missing,Egypt,Africa
5718,3443,Alexandria,,missing,Egypt,Africa
11437,5544,San Salvador,,missing,El Salvador,North America
12865,28282,San Salvador,,missing,El Salvador,North America
4778,2844,St. Ives,,Cornwall,England,Europe
5630,3392,Much Hadham,,Hertfordshire,England,Europe
15117,29035,Hitchin,,Hertfordshire,England,Europe
14897,6562,missing,,London,England,Europe
15983,30607,missing,,London,England,Europe
13028,28129,Arnold,,Nottinghamshire,England,Europe
12605,2939,Blurton,,Staffordshire,England,Europe
15992,29137,Bradford,,West Yorkshire,England,Europe
5629,3392,Castleford,,Yorkshire,England,Europe
3907,2301,Yorkshire,,missing,England,Europe
14126,26558,York,,missing,England,Europe
14702,6412,York,,missing,England,Europe
14703,6412,York,,missing,England,Europe
14708,6415,York,,missing,England,Europe
5923,3576,Wordsley,,missing,England,Europe
7990,4882,Woodstock,,missing,England,Europe
85,49,Windsor,,missing,England,Europe
7254,4415,Winchester,,missing,England,Europe
3221,1868,Wimbledon,,missing,England,Europe
14657,6352,Wimbledon,,missing,England,Europe
1468,819,Whitby,,missing,England,Europe
12704,819,Whitby,,missing,England,Europe
5258,3152,Wetley Abbey,,missing,England,Europe
5547,3341,Weston-super-Mare,,missing,England,Europe
9428,6141,Weston-super-Mare,,missing,England,Europe
12997,28294,Wendover,,missing,England,Europe
778,420,Warwickshire,,missing,England,Europe
9567,6253,Warwickshire,,missing,England,Europe
16093,28302,Warminster,,missing,England,Europe
14654,6365,Walworth,,missing,England,Europe
12300,28077,Walton-on-Thames,,missing,England,Europe
14232,6401,Ventnor,,missing,England,Europe
2731,1561,Turnham Green,,missing,England,Europe
167,98,Towersey,,missing,England,Europe
7879,4806,Torquay,,missing,England,Europe
8938,5733,Tamworth,,missing,England,Europe
5207,3120,Sway,,missing,England,Europe
2311,1312,Sutton,,missing,England,Europe
2457,1402,Surrey,,missing,England,Europe
9549,6227,Surrey,,missing,England,Europe
15355,6519,Sunderland,,missing,England,Europe
549,290,Suffolk,,missing,England,Europe
2983,1716,Sudbury,,missing,England,Europe
11280,26827,Stoke-on-Trent,,missing,England,Europe
10105,6888,Staines,,missing,England,Europe
5543,3337,Staindrop,,missing,England,Europe
4207,2492,Southampton,,missing,England,Europe
11658,27797,Southampton,,missing,England,Europe
14914,6552,South Stoke,,missing,England,Europe
4131,2442,South Shields,,missing,England,Europe
5948,3589,Somerstown,,missing,England,Europe
14718,6419,Somersetshire,,missing,England,Europe
3863,2278,Skipton,,missing,England,Europe
3698,2181,Sheffield,,missing,England,Europe
5542,3336,Sheffield,,missing,England,Europe
8990,5765,Sheffield,,missing,England,Europe
5205,3119,Scarborough,,missing,England,Europe
14546,6456,Scarborough,,missing,England,Europe
14938,6526,Scarborough,,missing,England,Europe
6104,3693,Rowland's Castle,,missing,England,Europe
2655,1516,Richmond,,missing,England,Europe
15002,6467,Redhill,,missing,England,Europe
3602,2120,Reading,,missing,England,Europe
11135,4397,Ramsey,,missing,England,Europe
11343,1456,Pulborough,West Sussex,missing,England,Europe
436,238,Pontypool,,missing,England,Europe
6639,4017,Plympton,,missing,England,Europe
6434,3891,Plymouth,,missing,England,Europe
12713,6582,Plymouth,,missing,England,Europe
3480,2045,Oxford,,missing,England,Europe
15369,2048,Oxford,,missing,England,Europe
8592,5424,Ossett,,missing,England,Europe
8146,5149,Osborne,,missing,England,Europe
9844,6674,Nottingham,,missing,England,Europe
3993,2358,Norwich,,missing,England,Europe
4636,2756,Norwich,,missing,England,Europe
4637,2756,Norwich,,missing,England,Europe
4655,2766,Newcastle-on-Tyne,,missing,England,Europe
8051,5086,Milford,,missing,England,Europe
15412,29922,Merton,,missing,England,Europe
1228,682,Manchester,,missing,England,Europe
3,3,London,,missing,England,Europe
104,61,London,,missing,England,Europe
242,138,London,,missing,England,Europe
294,165,London,,missing,England,Europe
295,165,London,,missing,England,Europe
375,207,London,,missing,England,Europe
382,211,London,,missing,England,Europe
423,232,London,,missing,England,Europe
496,267,London,,missing,England,Europe
550,290,London,,missing,England,Europe
591,315,London,,missing,England,Europe
611,325,London,,missing,England,Europe
615,328,London,,missing,England,Europe
616,328,London,,missing,England,Europe
622,332,London,,missing,England,Europe
647,349,London,,missing,England,Europe
658,356,London,,missing,England,Europe
659,356,London,,missing,England,Europe
930,521,London,,missing,England,Europe
1032,576,London,,missing,England,Europe
1069,596,London,,missing,England,Europe
1258,701,London,,missing,England,Europe
1259,701,London,,missing,England,Europe
1408,780,London,,missing,England,Europe
1474,824,London,,missing,England,Europe
1525,855,London,,missing,England,Europe
1668,935,London,,missing,England,Europe
1685,944,London,,missing,England,Europe
1733,974,London,,missing,England,Europe
1747,987,London,,missing,England,Europe
1809,1017,London,,missing,England,Europe
1853,1039,London,,missing,England,Europe
1859,1044,London,,missing,England,Europe
2371,1350,London,,missing,England,Europe
2372,1350,London,,missing,England,Europe
2475,1413,London,,missing,England,Europe
2500,1427,London,,missing,England,Europe
2537,1451,London,,missing,England,Europe
2605,1494,London,,missing,England,Europe
2607,1495,London,,missing,England,Europe
2608,1495,London,,missing,England,Europe
2623,1503,London,,missing,England,Europe
2693,1539,London,,missing,England,Europe
2694,1539,London,,missing,England,Europe
2695,1540,London,,missing,England,Europe
2696,1540,London,,missing,England,Europe
2707,1549,London,,missing,England,Europe
2730,1561,London,,missing,England,Europe
2733,1562,London,,missing,England,Europe
2805,1609,London,,missing,England,Europe
2839,1636,London,,missing,England,Europe
2895,1663,London,,missing,England,Europe
2896,1663,London,,missing,England,Europe
2984,1716,London,,missing,England,Europe
2997,1724,London,,missing,England,Europe
3211,1862,London,,missing,England,Europe
3274,1896,London,,missing,England,Europe
3331,1933,London,,missing,England,Europe
3341,1940,London,,missing,England,Europe
3469,2032,London,,missing,England,Europe
3484,2048,London,,missing,England,Europe
3508,2067,London,,missing,England,Europe
3599,2118,London,,missing,England,Europe
3600,2118,London,,missing,England,Europe
3629,2134,London,,missing,England,Europe
3752,2213,London,,missing,England,Europe
3773,2226,London,,missing,England,Europe
3859,2276,London,,missing,England,Europe
3903,2299,London,,missing,England,Europe
3904,2299,London,,missing,England,Europe
3962,2335,London,,missing,England,Europe
4098,2420,London,,missing,England,Europe
4166,2470,London,,missing,England,Europe
4415,2612,London,,missing,England,Europe
4748,2830,London,,missing,England,Europe
4805,2863,London,,missing,England,Europe
4806,2863,London,,missing,England,Europe
4823,2877,London,,missing,England,Europe
4829,2881,London,,missing,England,Europe
4836,2885,London,,missing,England,Europe
4840,2887,London,,missing,England,Europe
4876,2914,London,,missing,England,Europe
4942,2952,London,,missing,England,Europe
5073,3038,London,,missing,England,Europe
5098,3055,London,,missing,England,Europe
5201,3117,London,,missing,England,Europe
5259,3152,London,,missing,England,Europe
5339,3204,London,,missing,England,Europe
5472,3285,London,,missing,England,Europe
5668,3414,London,,missing,England,Europe
5755,3466,London,,missing,England,Europe
5980,3610,London,,missing,England,Europe
6088,3686,London,,missing,England,Europe
6176,3743,London,,missing,England,Europe
6178,3746,London,,missing,England,Europe
6304,3813,London,,missing,England,Europe
6435,3891,London,,missing,England,Europe
6640,4017,London,,missing,England,Europe
6721,4066,London,,missing,England,Europe
6731,4074,London,,missing,England,Europe
6744,4081,London,,missing,England,Europe
6852,4159,London,,missing,England,Europe
6853,4159,London,,missing,England,Europe
6924,4208,London,,missing,England,Europe
6945,4221,London,,missing,England,Europe
6978,4241,London,,missing,England,Europe
6985,4247,London,,missing,England,Europe
6994,4253,London,,missing,England,Europe
7002,4259,London,,missing,England,Europe
7210,4388,London,,missing,England,Europe
7255,4415,London,,missing,England,Europe
7265,4422,London,,missing,England,Europe
7357,4478,London,,missing,England,Europe
7468,4555,London,,missing,England,Europe
7486,4568,London,,missing,England,Europe
7593,4637,London,,missing,England,Europe
7626,4656,London,,missing,England,Europe
7666,4682,London,,missing,England,Europe
7675,4687,London,,missing,England,Europe
7878,4806,London,,missing,England,Europe
7933,4841,London,,missing,England,Europe
7991,4882,London,,missing,England,Europe
7999,4893,London,,missing,England,Europe
8095,5120,London,,missing,England,Europe
8117,5133,London,,missing,England,Europe
8145,5149,London,,missing,England,Europe
8156,5158,London,,missing,England,Europe
8218,5200,London,,missing,England,Europe
8219,5200,London,,missing,England,Europe
8327,5266,London,,missing,England,Europe
8328,5266,London,,missing,England,Europe
8365,5283,London,,missing,England,Europe
8454,5336,London,,missing,England,Europe
8479,5349,London,,missing,England,Europe
8586,5417,London,,missing,England,Europe
8647,5465,London,,missing,England,Europe
8658,5471,London,,missing,England,Europe
8659,5471,London,,missing,England,Europe
8718,5504,London,,missing,England,Europe
8719,5504,London,,missing,England,Europe
8849,5663,London,,missing,England,Europe
8877,5685,London,,missing,England,Europe
8885,5689,London,,missing,England,Europe
9149,5880,London,,missing,England,Europe
9250,5973,London,,missing,England,Europe
9286,6012,London,,missing,England,Europe
9630,6296,London,,missing,England,Europe
10104,6888,London,,missing,England,Europe
10422,7296,London,,missing,England,Europe
10496,7394,London,,missing,England,Europe
10898,1607,London,,missing,England,Europe
11138,4396,London,,missing,England,Europe
11139,4396,London,,missing,England,Europe
11157,18561,London,,missing,England,Europe
11201,18514,London,,missing,England,Europe
11696,1416,London,,missing,England,Europe
11951,6483,London,,missing,England,Europe
11952,6483,London,,missing,England,Europe
12094,6370,London,,missing,England,Europe
12095,6370,London,,missing,England,Europe
12140,28020,London,,missing,England,Europe
12328,28096,London,,missing,England,Europe
12499,2356,London,,missing,England,Europe
13030,28129,London,,missing,England,Europe
13278,4189,London,,missing,England,Europe
13389,27422,London,,missing,England,Europe
13500,5108,London,,missing,England,Europe
13552,1912,London,,missing,England,Europe
13553,1912,London,,missing,England,Europe
13566,28609,London,,missing,England,Europe
13700,1372,London,,missing,England,Europe
13969,6890,London,,missing,England,Europe
14087,28995,London,,missing,England,Europe
14127,26558,London,,missing,England,Europe
14186,28996,London,,missing,England,Europe
14193,6890,London,,missing,England,Europe
14255,6858,London,,missing,England,Europe
14256,6858,London,,missing,England,Europe
14356,27441,London,,missing,England,Europe
14547,6456,London,,missing,England,Europe
14629,28097,London,,missing,England,Europe
14645,6379,London,,missing,England,Europe
